"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2019-12-31","31/12/2019","31","12","2019","0","0","Japan","JP"
"2020-01-01","1/1/2020","1","1","2020","0","0","Japan","JP"
"2020-01-02","2/1/2020","2","1","2020","0","0","Japan","JP"
"2020-01-03","3/1/2020","3","1","2020","0","0","Japan","JP"
"2020-01-04","4/1/2020","4","1","2020","0","0","Japan","JP"
"2020-01-05","5/1/2020","5","1","2020","0","0","Japan","JP"
"2020-01-06","6/1/2020","6","1","2020","0","0","Japan","JP"
"2020-01-07","7/1/2020","7","1","2020","0","0","Japan","JP"
"2020-01-08","8/1/2020","8","1","2020","0","0","Japan","JP"
"2020-01-09","9/1/2020","9","1","2020","0","0","Japan","JP"
"2020-01-10","10/1/2020","10","1","2020","0","0","Japan","JP"
"2020-01-11","11/1/2020","11","1","2020","0","0","Japan","JP"
"2020-01-12","12/1/2020","12","1","2020","0","0","Japan","JP"
"2020-01-13","13/01/2020","13","1","2020","0","0","Japan","JP"
"2020-01-14","14/01/2020","14","1","2020","0","0","Japan","JP"
"2020-01-15","15/01/2020","15","1","2020","1","0","Japan","JP"
"2020-01-16","16/01/2020","16","1","2020","0","0","Japan","JP"
"2020-01-17","17/01/2020","17","1","2020","0","0","Japan","JP"
"2020-01-18","18/01/2020","18","1","2020","0","0","Japan","JP"
"2020-01-19","19/01/2020","19","1","2020","0","0","Japan","JP"
"2020-01-20","20/01/2020","20","1","2020","0","0","Japan","JP"
"2020-01-21","21/01/2020","21","1","2020","0","0","Japan","JP"
"2020-01-22","22/01/2020","22","1","2020","0","0","Japan","JP"
"2020-01-23","23/01/2020","23","1","2020","0","0","Japan","JP"
"2020-01-24","24/01/2020","24","1","2020","1","0","Japan","JP"
"2020-01-25","25/01/2020","25","1","2020","0","0","Japan","JP"
"2020-01-26","26/01/2020","26","1","2020","1","0","Japan","JP"
"2020-01-27","27/01/2020","27","1","2020","0","0","Japan","JP"
"2020-01-28","28/01/2020","28","1","2020","1","0","Japan","JP"
"2020-01-29","29/01/2020","29","1","2020","3","0","Japan","JP"
"2020-01-30","30/01/2020","30","1","2020","4","0","Japan","JP"
"2020-01-31","31/01/2020","31","1","2020","3","0","Japan","JP"
"2020-02-01","1/2/2020","1","2","2020","1","0","Japan","JP"
