"Date","ChinaUnemply","USAUnemply","JapanUnemply"
"2020-01-06","5.2","3.6","2.2"
"2020-01-07","5.2","3.6","2.2"
"2020-01-08","5.2","3.6","2.2"
"2020-01-09","5.2","3.6","2.2"
"2020-01-10","5.2","3.6","2.2"
"2020-01-11","5.2","3.6","2.2"
"2020-01-12","5.2","3.6","2.2"
"2020-01-13","5.2","3.6","2.2"
"2020-01-14","5.2","3.6","2.2"
"2020-01-15","5.2","3.6","2.2"
"2020-01-16","5.2","3.6","2.2"
"2020-01-17","5.2","3.6","2.2"
"2020-01-18","5.2","3.6","2.2"
"2020-01-19","5.2","3.6","2.2"
"2020-01-20","5.2","3.6","2.2"
"2020-01-21","5.2","3.6","2.2"
"2020-01-22","5.2","3.6","2.2"
"2020-01-23","5.2","3.6","2.2"
"2020-01-24","5.2","3.6","2.2"
"2020-01-25","5.2","3.6","2.2"
"2020-01-26","5.2","3.6","2.2"
"2020-01-27","5.2","3.6","2.2"
"2020-01-28","5.2","3.6","2.2"
"2020-01-29","5.2","3.6","2.2"
"2020-01-30","5.2","3.6","2.2"
"2020-01-31","5.2","3.6","2.2"
"2020-02-01","5.3","3.5","2.4"
"2020-02-02","5.3","3.5","2.4"
"2020-02-03","5.3","3.5","2.4"
"2020-02-04","5.3","3.5","2.4"
"2020-02-05","5.3","3.5","2.4"
"2020-02-06","5.3","3.5","2.4"
"2020-02-07","5.3","3.5","2.4"
"2020-02-08","5.3","3.5","2.4"
"2020-02-09","5.3","3.5","2.4"
"2020-02-10","5.3","3.5","2.4"
"2020-02-11","5.3","3.5","2.4"
"2020-02-12","5.3","3.5","2.4"
"2020-02-13","5.3","3.5","2.4"
"2020-02-14","5.3","3.5","2.4"
"2020-02-15","5.3","3.5","2.4"
"2020-02-16","5.3","3.5","2.4"
"2020-02-17","5.3","3.5","2.4"
"2020-02-18","5.3","3.5","2.4"
"2020-02-19","5.3","3.5","2.4"
"2020-02-20","5.3","3.5","2.4"
"2020-02-21","5.3","3.5","2.4"
"2020-02-22","5.3","3.5","2.4"
"2020-02-23","5.3","3.5","2.4"
"2020-02-24","5.3","3.5","2.4"
"2020-02-25","5.3","3.5","2.4"
"2020-02-26","5.3","3.5","2.4"
